ObjectId,Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category
5354,2023,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,13684,E,Other Governmental Funds
5355,2023,City Attorney,General Fund,City Property,13750,E,Fund Total
5356,2023,City Attorney,General Fund,Employee Services,13045497,E,Fund Total
5357,2023,City Attorney,General Fund,Intergovernmental,52000,R,Fund Total
5358,2023,City Attorney,General Fund,Labor and Supply Offset,-4387100,E,Fund Total
5359,2023,City Attorney,General Fund,Other Services and Supplies,318392,E,Fund Total
5360,2023,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2426557,E,Other Governmental Funds
5361,2023,City Attorney,Measure U Fund,Labor and Supply Offset,254577,E,Fund Total
5362,2023,City Attorney,Storm Drainage Fund,Labor and Supply Offset,46526,E,Enterprise Funds
5363,2023,City Attorney,Wastewater Fund,Labor and Supply Offset,52000,E,Enterprise Funds
5364,2023,City Attorney,Water Fund,Labor and Supply Offset,161472,E,Enterprise Funds
5365,2023,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,Fund Total
5366,2023,City Clerk,General Fund,City Property,2000,E,Fund Total
5367,2023,City Clerk,General Fund,Employee Services,3159263,E,Fund Total
5368,2023,City Clerk,General Fund,Intergovernmental,40000,R,Fund Total
5369,2023,City Clerk,General Fund,Labor and Supply Offset,-1006739,E,Fund Total
5370,2023,City Clerk,General Fund,Multi-Year Operating Projects,500,E,Fund Total
5371,2023,City Clerk,General Fund,Other Services and Supplies,632173,E,Fund Total
5372,2023,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,1006739,E,Other Governmental Funds
5373,2023,City Manager,2003 North Sac TE TABS,Other Services and Supplies,9000,E,Other Governmental Funds
5374,2023,City Manager,Block Grant/Housing and Redev,Intergovernmental,29250,R,Other Governmental Funds
5375,2023,City Manager,Block Grant/Housing and Redev,Other Services and Supplies,29250,E,Other Governmental Funds
5376,2023,City Manager,General Fund,"Charges, Fees, and Services",158208,R,Fund Total
5377,2023,City Manager,General Fund,City Property,22326,E,Fund Total
5378,2023,City Manager,General Fund,Employee Services,5584676,E,Fund Total
5379,2023,City Manager,General Fund,Labor and Supply Offset,-1612905,E,Fund Total
5380,2023,City Manager,General Fund,Licenses and Permits,3611924,R,Fund Total
5381,2023,City Manager,General Fund,Multi-Year Operating Projects,1995100,E,Fund Total
5382,2023,City Manager,General Fund,Other Services and Supplies,1137387,E,Fund Total
5383,2023,City Manager,Innovation and Growth Fund,Employee Services,263738,E,Other Governmental Funds
5384,2023,City Manager,Innovation and Growth Fund,Multi-Year Operating Projects,6750000,E,Other Governmental Funds
5385,2023,City Manager,Innovation and Growth Fund,Other Services and Supplies,310000,E,Other Governmental Funds
5386,2023,City Manager,Interdepartmental Service Fund,Labor and Supply Offset,1639182,E,Other Governmental Funds
5387,2023,City Manager,Measure U Fund,City Property,2000,E,Fund Total
5388,2023,City Manager,Measure U Fund,Employee Services,6011398,E,Fund Total
5389,2023,City Manager,Measure U Fund,Labor and Supply Offset,-155352,E,Fund Total
5390,2023,City Manager,Measure U Fund,Multi-Year Operating Projects,1050000,E,Fund Total
5391,2023,City Manager,Measure U Fund,Other Services and Supplies,1015983,E,Fund Total
5392,2023,City Treasurer,General Fund,City Property,10000,E,Fund Total
5393,2023,City Treasurer,General Fund,Contributions from Other Funds,3000000,R,Fund Total
5394,2023,City Treasurer,General Fund,Employee Services,2552685,E,Fund Total
5395,2023,City Treasurer,General Fund,Intergovernmental,1180000,R,Fund Total
5396,2023,City Treasurer,General Fund,Labor and Supply Offset,-1162869,E,Fund Total
5397,2023,City Treasurer,General Fund,Miscellaneous Revenue,450000,R,Fund Total
5398,2023,City Treasurer,General Fund,Multi-Year Operating Projects,3000,E,Fund Total
5399,2023,City Treasurer,General Fund,Other Services and Supplies,275547,E,Fund Total
5400,2023,City Treasurer,Interdepartmental Service Fund,Labor and Supply Offset,1163219,E,Other Governmental Funds
5401,2023,Citywide and Community Support,16th St PBID,Other Services and Supplies,184303,E,Other Governmental Funds
5402,2023,Citywide and Community Support,4th R Program,Employee Services,27258,E,Other Governmental Funds
5403,2023,Citywide and Community Support,ARPA Reinvestment,Multi-Year Operating Projects,4252937,E,Other Governmental Funds
5404,2023,Citywide and Community Support,ARPA Reinvestment,Operating Transfers,0,E,Other Governmental Funds
5405,2023,Citywide and Community Support,Community Center Fund,Employee Services,96442,E,Enterprise Funds
